t,o,h,l,c,v
2020-12-23,105.2,105.2,105.2,105.2,3490.0
2020-12-24,117.8,121.5,117.8,121.5,3469.0
2020-12-25,121.0,123.1,120.3,123.1,28067.0
2020-12-26,125.0,135.7,118.5,122.0,89365728.543
2020-12-27,122.0,126.3,118.5,122.0,38944498.06606636
2020-12-28,122.0,123.6,113.6,118.9,30428809.63480113
2020-12-29,118.0,125.0,115.8,122.8,26696988.3401832
2020-12-30,122.1,125.0,121.0,123.0,13803252.61064055
2020-12-31,123.4,147.0,122.2,144.0,73035904.19921497
2021-01-01,144.0,510.0,136.0,230.0,954520196.2417132
2021-01-02,245.0,430.0,220.0,291.5,1034876101.6504589
2021-01-03,292.0,319.0,200.0,258.3,658687277.463563
2021-01-04,258.3,275.0,243.0,257.0,267867654.18361583
2021-01-05,257.0,296.0,255.0,273.0,348742382.51325715
2021-01-06,273.0,278.0,260.0,265.2,216674633.19395038
2021-01-07,265.0,270.0,241.6,246.0,147972165.62194815
2021-01-08,246.0,282.0,241.2,261.3,267386439.88279253
2021-01-09,261.0,275.6,245.0,250.0,162195348.93077272
2021-01-10,250.0,265.0,179.0,202.6,370938707.83261305
2021-01-11,202.8,249.0,198.0,213.9,344118543.8101734
2021-01-12,212.0,221.0,203.0,210.0,148989815.59059137
2021-01-13,209.0,245.0,208.0,233.0,333822982.4802785
2021-01-14,233.0,240.0,209.0,221.8,246333904.05013466
2021-01-15,222.0,233.0,210.0,215.0,112927930.09049581
2021-01-16,215.0,218.0,193.0,205.5,155989041.42886594
2021-01-17,205.6,212.0,199.4,201.0,99205811.8566764
2021-01-18,200.3,210.0,198.0,203.5,124551947.73495564
2021-01-19,203.0,212.0,201.9,211.0,108745843.03005044
2021-01-20,211.9,217.0,200.0,205.6,98528344.09246948
2021-01-21,205.9,209.0,189.0,203.0,79411699.1715535
2021-01-22,202.1,205.0,200.0,202.0,36347216.63406137
2021-01-23,202.9,212.0,202.0,205.2,87891597.06513253
2021-01-24,205.2,209.0,203.0,204.0,71264820.64234395
2021-01-25,204.2,204.9,195.0,201.4,63366699.857517734
2021-01-26,201.4,201.5,180.0,187.9,103714998.41812384
2021-01-27,187.0,600.0,183.3,560.0,1937494370.9618888
2021-01-28,556.0,1560.0,501.0,1118.0,1369333376.5206635
2021-01-29,1120.0,1408.9,549.7,570.0,571382421.51604
2021-01-30,576.0,1200.0,550.5,1150.0,685314289.2536613
2021-01-31,1150.0,1205.0,865.0,934.0,483296037.34577805
2021-02-01,934.0,950.0,750.0,774.0,202460243.83750212
2021-02-02,774.0,890.0,761.0,884.0,194619238.45866725
2021-02-03,881.0,1330.0,823.0,1180.0,1011544055.1163554
2021-02-04,1180.0,1300.0,1050.0,1124.0,359939621.826082
2021-02-05,1124.0,1400.0,1114.0,1326.0,437118326.16656315
2021-02-06,1326.0,2000.0,1230.0,1888.0,733149823.6184247
2021-02-07,1880.0,2200.0,1700.0,2033.0,612328361.3966362
2021-02-08,2034.0,2150.0,1750.0,1965.0,331750069.71543556
2021-02-09,1958.0,2050.0,1850.0,1960.0,239584108.33531594
2021-02-10,1965.0,1990.0,1900.0,1920.0,138991132.3680071
